Device: cuda
Loaded vocab (544 tokens) <- /content/visual-latex-decompiler/vocab.pkl
[FormulaDataset] 75275 samples from /content/visual-latex-decompiler/Data_Im2Latx/images_train
[FormulaDataset] 8370 samples from /content/visual-latex-decompiler/Data_Im2Latx/images_val
Model type: transformer
Parameters: 32,584,096
Looking for checkpoint: /content/visual-latex-decompiler/checkpoints/model_best_transformer.pt exists: True
Resumed from epoch 4, val_loss=1.6412
  ep 5 step 50 loss=1.7069 tf=0.92
  ep 5 step 100 loss=1.7076 tf=0.92
  ep 5 step 150 loss=1.7059 tf=0.92
  ep 5 step 200 loss=1.7108 tf=0.92
  ep 5 step 250 loss=1.7111 tf=0.92
  ep 5 step 300 loss=1.7081 tf=0.92
  ep 5 step 350 loss=1.7062 tf=0.92
  ep 5 step 400 loss=1.7060 tf=0.92
  ep 5 step 450 loss=1.7068 tf=0.92
  ep 5 step 500 loss=1.7082 tf=0.92
  ep 5 step 550 loss=1.7083 tf=0.92
  ep 5 step 600 loss=1.7085 tf=0.92
  ep 5 step 650 loss=1.7080 tf=0.92
  ep 5 step 700 loss=1.7080 tf=0.92
  ep 5 step 750 loss=1.7074 tf=0.92
  ep 5 step 800 loss=1.7070 tf=0.92
  ep 5 step 850 loss=1.7063 tf=0.92
  ep 5 step 900 loss=1.7049 tf=0.92
  ep 5 step 950 loss=1.7050 tf=0.92
  ep 5 step 1000 loss=1.7051 tf=0.92
  ep 5 step 1050 loss=1.7048 tf=0.92
  ep 5 step 1100 loss=1.7043 tf=0.92
  ep 5 step 1150 loss=1.7046 tf=0.92
  ep 5 step 1200 loss=1.7044 tf=0.92
  ep 5 step 1250 loss=1.7051 tf=0.92
  ep 5 step 1300 loss=1.7053 tf=0.92
  ep 5 step 1350 loss=1.7057 tf=0.92
  ep 5 step 1400 loss=1.7058 tf=0.92
  ep 5 step 1450 loss=1.7056 tf=0.92
  ep 5 step 1500 loss=1.7055 tf=0.92
  ep 5 step 1550 loss=1.7057 tf=0.92
  ep 5 step 1600 loss=1.7064 tf=0.92
  ep 5 step 1650 loss=1.7062 tf=0.92
  ep 5 step 1700 loss=1.7059 tf=0.92
  ep 5 step 1750 loss=1.7062 tf=0.92
  ep 5 step 1800 loss=1.7059 tf=0.92
  ep 5 step 1850 loss=1.7052 tf=0.92
  ep 5 step 1900 loss=1.7048 tf=0.92
  ep 5 step 1950 loss=1.7048 tf=0.92
  ep 5 step 2000 loss=1.7054 tf=0.92
  ep 5 step 2050 loss=1.7058 tf=0.92
  ep 5 step 2100 loss=1.7054 tf=0.92
  ep 5 step 2150 loss=1.7052 tf=0.92
  ep 5 step 2200 loss=1.7048 tf=0.92
  ep 5 step 2250 loss=1.7050 tf=0.92
  ep 5 step 2300 loss=1.7049 tf=0.92
  ep 5 step 2350 loss=1.7047 tf=0.92
Epoch 5/20 tl=1.7047 vl=1.6254 BLEU=0.0354 ED=0.8525 lr=0.001000 2538s
